CODE,LIBELLE
AB,TERRAINS A BATIR
AG,TERRAINS D AGREMENT 
B,BOIS 
BF,FUTAIES FEUILLUES 
BM,FUTAIES MIXTES 
BO,OSERAIES 
BP,PEUPLERAIES 
BR,FUTAIES RESINEUSES 
BS,TAILLIS SOUS FUTAIES 
BT,TAILLIS SIMPLES 
CA,CARRIERES 
CH,"CHEMINS DE FER, CANAUX DE NAVIGATION "
E,EAUX 
J,JARDINS 
L,LANDES 
LB,LANDES BOISEES 
P,PRES 
PA,PATURES OU PATURAGES 
PC,PACAGES OU PATIS 
PE,PRES D EMBOUCHE 
PH,HERBAGES 
PP,"PRES, PATURES OU HERBAGES PLANTES "
S,SOLS 
T,TERRE 
TP,TERRES PLANTEES 
VE,VERGERS 
VI,VIGNES 
