CODE,LIBELLE
ECF,PERSONNE PHYSIQUE - ECONOMIQUEMENT FAIBLE (NON SERVI)
FNL,PERSONNE PHYSIQUE - FONCTIONNAIRE LOGE
DOM,PERSONNE PHYSIQUE - PROPRIETAIRE OCCUPANT DOM
HLM,PERSONNE MORALE - OFFICE HLM
SEM,PERSONNE MORALE - SOCIETE D ECONOMIE MIXTE
TGV,PERSONNE MORALE – SNCF
RFF,PERSONNE MORALE - RESEAU FERRE DE FRANCE
CLL,PERSONNE MORALE - COLLECTIVITE LOCALE
CAA,PERSONNE MORALE - CAISSE ASSURANCE AGRICOLE
