CODE,LIBELLE
A,Méthode comptable
B,EVALUATION D APRES LE BAIL
C,EVALUATION PAR COMPARAISON
D,EVALUATION PAR VOIE D APPRECIATION DIRECTE
E,EVALUATION SPECIFIQUE AUX TRANSFORMATEURS ELECTRIQUES ET APPAREILS A GAZ
T,EVALUATION PAR BAREME (LOCAUX COMMERCIAUX ET ASSIMILES)
