CODE,LIBELLE
2,ADRESSE FORMATEE
3,ADRESSE A L ETRANGER AVEC CODIFICATION DU PAYS EN CCOPAY
4,ADRESSE A L ETRANGER SANS CODIFICATION DU PAYS
5,ADRESSE INCODIFIABLE
6,ADRESSE CEDEX
7,POSTES AUX ARMEES
9,LIGNE VIDE
